150063834**|키가 작은데도 길이가 조금 짧긴 하지만 안에 검은 반바지 입고 입으면 딱 이쁠것같아요 !!!! 이 가격에 이쁜 옷 살 수 있어서 넘무 좋습니다 ㅠ.ㅠ 고고싱 자주 올게욥 ♥️♥️
lky31**|딱달라붙어서 너무이뻐용 잘입을게여!
mh9805**|고민하시는 분들은 정말 사도 후회 안하실 것 같아요!! 평소 사이즈보다 허리가 조금 큰 것 같지만 벨트로 예쁘게 고정해줘서 부담없이 입을 수 있는 것 같아요..! 깔끔한 옷 단정된 옷 좋아하시는 분에게 적극 추천해용:) 예쁘게 입겠습니다~~
tjd73**|가볍게 입을려고 구매했는데 정말 예뻐요. 기장도 너무 맘에 드네요. 처음에 올 때 약간 냄새가 나서 한번 세탁 후 입어야 될 것 같아요!!
rkdms2**|널널하게 입을려고 크게 샀는데 종아리 부분이 너무 많이 남드라구요 그래도 이쁘고 가격대비 완전 좋습니다!!!!! 그리고 안에 옷도 안비쳐서 좋았어요 ㅎㅎ
vhzkfl10**|제가 생각했던 하늘하늘한 꽃무늬의 치마을 칮아서 기뻐용 근데 키가 167 이라 살짝 짧아요 ㅠㅠ 길이가 아쉬워요 ㅠㅠ
rhdwnd**|제가 키가 작아서 그런지 로브가 조금 커요ㅋㅋㄱ근데 재질은 좋아요! 단추가 있어서 원피스로도 입을수 있는 것 같은데 엉덩이쪽 트임이 너무 트여서 원피스로는 조금 무리일 것 같네요ㅎㅎ 잘 입을게요!
rhdwnd**|청반바지인데 하이웨스트에요! 길이도 적당해요 근데 반바지가 많이 얇고 잘 늘어나서 살이 조금 있는 사람은 가랑이가 조금 민망쓰..ㅎㅎㅎ
jini58**|사알짝 작기는 한데 완전 만족띠 ღ'ᴗ'ღ
rhdwnd**|옷이 엄청 가볍고 얇은 재질이라 걸을때 마다 펄럭여요ㅋㅋㅋ 그리고 옷만보면 조금 차려입어보이는데 그냥 티랑 입으면 캐주얼해보이기도 하고 좋아요ㅎㅅㅎ 허리가 조금 크긴한데 밴딩이라 잘 맞네요ㅎㅎ
le94**|길이감이쁘고~ 디자인이나 색깔은 맘에드는데 위에 어깨끈이 좀더 얇았으면 좋을것같고 위에가 너무 쫄려요ㅠㅠ마른편임에도 불구하고 너무 쪼여서 자주는 못입을 것같네영...ㅠㅠ
rhdwnd**|너무 예뻐요!! 핏도 정말 예쁘고 무늬도 예뻐요!어느옷에나 다 잘어울려요! 여기서 같이 산 치마랑 입었는데 잘어울려요ㅎㅎ
o24**|사진상으로는 잘 안나타나서 주문했눈데 개인적으로 목 부분이 조금 횡해보였어요. 이점 유의하시면 좋을 거 같아요
rhdwnd**|여름티셔츠가 없어서 기본티로 샀는데 색깔 너무 예뻐요! 어디에나 무난하게 잘 어울리고 핏도 길이도 적당해요!
55937174**|엠사이즈가 저한테는 조금 크네요! 허리가 정말로.... 하지만 그래도 속안에 안감은 편해서 잘입을수가 있을꺼같아요!!
jiminkim**|좋아요!! 딱 여름에 입기 좋은 소재에다가 쫀쫀해서 좋은것 같아요. 검은색으로 사서 비침도 없는것 같구요, 가격대비 정말 만족스럽습니다!
