snbjy**|항상 골반사이즈 맞추면 허리가커서 수선했는데 이 옷은 딱 좋아요.라인도 너무 이쁘게 떨어지고 편해서 좋습니다.한개 더 주문하려구용
miin52**|진짜 사진상으로 봤던것 보다 진짜 편해요 완전 잠옷같은 느낌이었어요 늘어났던것도 좋았고 애들이 바지 이쁘다면서 어디서 샀냐 하길래 제가 고고싱에서 샀다 하니까 자기도 사야겠다하면서 그랬어요 ㅜㅜ 너무 사랑합니다 고고싱
yhr33**|너무 너무 편하고 시원해서 너무 좋아요. 너무 잘입고 있네요~~~ 올 여름시원하고 예쁘게 입을께요~~ 많이 파세요~~
yhr33**|기대했는데..뭔가 가슴부분이 엄청 넓은 느낌? 모양이 예뻐보이지 않아서 직접 앞부분을 조금 좁혀서 입었어요. 손이 별로 안가요ㅜㅜ
yhr33**|넉넉한 사이즈 좋아하는데 사이즈도 넉넉하고 너무 좋아요~재질조 탄탄하고 예뻐서 검은색도 사려구요~ 많이파세요~~
yhr33**|너무 너무 편하고 시원해서 너무 좋아요. 너무 잘입고 있네요~~~ 올 여름시원하고 예쁘게 입을께요~~ 많이 파세요~~
misik**|되게 편하고 좋음..예쁘고 진짜 편함..
misik**|아직 밖에입고나간적은 없는데 집에서 입어보니 되게 편하고 좋음. 핏도 되게 예쁘고 색도 예쁨 흑청 사길 완전 잘했다고 생각들고 항상 바지는 고고싱에서 사는데 딱 그럴만한 이유가 있음. 조금 더 더워지면 밖에입고 나갈꺼라서 빨리 더워지면 좋겠다고 생각든것도 이번이 처음이고 다른바지도 고고싱에서 다 살꺼임! 제발 바지 2번 사여 진짜 예쁨 보면볼수록 핏도 예쁘고 걸어놨는데 완전 예쁨...
misik**|진짜예쁨! 친구들이 다 예쁘다고 했음.. 돈생기면 나머지도 살까 생각중..
436213221**|와 진심 이뻐요!!!!!딱보자마자 제스타일이라서 시켯는데 후회안함 ...근데 키큰사람들이 입기에는 많이 짧을거같아요!
joker04**|동그라미 빼고 다 마음에 들더라구요 동그라미는 뭔가..여기서 크기가 조금만 더 작았으면 예뻤을것 같기도 하고..ㅠ아무튼 심플하고 활용도가 높은것 같아서 좋아요
myloveek**|넘 이쁩니다 ㅠㅠㅠ 사이즈 고민하다가 s샀는데 괜찮네요!'평소에 바지 27사이즈 입는데 s괜찮아용 사이즈 고민하실때 참고하세용~~ 여름에 이쁘게 입을개용!!!!
myloveek**|너무 이뻐요!!!! 가격은 가격이구여 질도 좋구 청바지에 입으면 완전 이쁩니다 저는 밑에 고고싱 청치마랑 같이 코디했어영 ㅎㅎㅎ 넘 이쁩니다 ㅜㅜ꼭 사세요!!!
myloveek**|너무 이뻐요!!!! 가격은 가격이구여 질도 좋구 청바지에 입으면 완전 이쁩니다 저는 밑에 고고싱 청치마랑 같이 코디했어영 ㅎㅎㅎ 넘 이쁩니다 ㅜㅜ꼭 사세요!!!
myloveek**|너무 이뻐요!!!! 가격은 가격이구여 질도 좋구 청바지에 입으면 완전 이쁩니다 저는 밑에 고고싱 청치마랑 같이 코디했어영 ㅎㅎㅎ 넘 이쁩니다 ㅜㅜ꼭 사세요!!!
joker04**|평소에 초커 사고싶었는데 두꺼운건 부담스러워서 사는걸 미루고 있었는데 이 초커는 얇아서 마음에 들더라구요!얇은데 잘 끊어질것같은 재질은 아닌것같아요
speak7**|바지가 색도 예쁘고 스판기도 많고 소재가 얇은 편이라 지금 입기 좋아요~ 제가 살이쪄서 일자핏보단 넉넉한 스키니같은 핏이지만 진짜 너무 편해요 다만 바지 길이가 저한테는 조금 짧은 느낌이었어요 그래두 여름이니까 잘입고 다닐수 있을것같아요
joker04**|신어보니까 예쁘긴 한데 사이즈를 평소 사이즈로 시켰는데 잘못시킨건지 집에서 신고 조금 돌아다니기만 했는데 발 뒤꿈치가 아프고 쉽게 까질것같더라구요;;ㅠㅠㅠ
joker04**|평소에 이런 분위기의 옷을 사고 싶었는데 고고싱에서 보고 바로 질렀습니닼ㅋㅋㅋㅋ리본 매듭은 최대한 따라서 묶어봤어요ㅎㅎㅎ장미자수랑 태슬이 포인트인것같아요 마음에 듭니닿ㅎㅎ블라우스로 입어도 예뻐요!!!근데 안에 좀 비쳐서 저는 튜브탑이랑 같이 입었어요
speak7**|가격이 저렴해서 기대없이 옷이 별로면 집에서 입을생각으로 시켰는데 너무좋았어요 색은 화면이랑은 약간달랐지만 이거 나름대로예뻤고 고무줄도 너무편해서 여름에 잘입고다닐수있을거같아요 시킨것중에 가장맘에 듭니다~다른색으로 또 시킬 생각이에요~
speak7**|제가 워낙 박시하게 입는걸 좋아해서 생각보다 크기가 작게 느껴졌어요 그래두 색도 화면그대로처럼예쁘고 여름에 화사하게 입을수있을것같아서 잘입겠습니다~
joker04**|오프숄더 입을때 안에 입을려고 샀는데 정말 안에 뽕이 있는듯 없는듯 종이재질같더라구욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ당황했습니다 하지만 전 튜브탑을 노리고 샀기 때문에 안에 들어있는 뽕은 제가 기존에 가지고 있는걸로 대체할려구요..ㅎㅎ
speak7**|처음에 받아봤을때 생각보다 얇아서 걱정했는데 입어보니까 시원하고 너무좋았어요 핏도예쁘고 넉넉해서 여름에 입기 좋은것 같아요 그리고 색이 일반적인 레드가 아니고 다홍??느낌나서 너무 예뻐요 예쁘게 잘입겠습니다~
joker04**|착용샷은 못올리겠고 브라만 올릴께욬ㅋㅋㅋ확실히 가슴을 모아주긴 하는데 뭔가 브라가 재질이..애매하더라구요 좀 두텁다고 표현해야하나..?ㅠ와이어 없어서 편하긴 한데 저한텐 재질이 애매하더라구요 그거만 빼면 좋은것같아요 ㅎㅎ
speak7**|그냥 기본적인 스트라이프 반팔티가 필요해서 시킨건데 많이 얇지않게 적당히 시원하고 사이즈도 넉넉해서 좋았어요 배송도 빨라서 너무 좋았습니다~
jennifer53**|제가 하비라 L이랑M중에 고민했는데 그냥 M시켰습니다 저는 조금 공간이 남을 줄 알았는데 완전 딱 붙더라고요 저같은 하비이신분은 조금 입기가 부담스러울 것 같아요:( 일단 잘입겠습니다
jennifer53**|블랙시켰는데 너무 만족합니다!! 일단 하이숏팬츠랑 같이 입으니 정말 예뻐요 신드롬스커트랑도 입었는데 저는 팬츠보다는 스커트에 더 잘 어울린다고 생각해요!
sc1611**|처음에 엄마가 무슨 할머니 같은 옷을 샀냐고하면서 뭐라했는데 검은 티에 입은거 보고 이쁘다고했어요!!! 너무 편하고 옷이 얇아서 여름에 부담없이 입을 수 있을것같아요
socso**|베이지 샀는데 취저ㅠㅠㅠㅠ진심 이옷이 젤 맘에 들었으뮤ㅠㅠㅠ이 티만 더 쟁여놓고 싶은 욕심!!!!!!!!!!!!!!
socso**|이것도 걍 무난하게 입을 수 있는 티여기 잇는 글처럼 에브리데이 입을수 있음!!배송이 빨라서 좋고!!!!청바지랑 입기에 무난쓰
socso**|허벅지 살이 있어서 작을 줄 알고 고민 많이 햇는데실제 보는 것 보다 더 이쁘다!!하지만 보풀이 좀 심하게 일어난다ㅠㅠㅠ그래도 바지가 이뻐서 만족중
socso**|무난하게 입고다닐 수있어서 굿굿!!생각보다 박시하지않아요!평소 학교갈 때 대충입어도 부드럽게 잘 어울림.또한 배송이 빠름
socso**|좀 덩치있어보였지만 여기서 같이 산 바ㅈㅣ랑 입으니깐 글도 봐줄만 햇어오! 색은 카키를 삿는데 생각ㅈ보다 좀 연했다능 ㅠㅠㅠ
socso**|검정색이 너무 이뻐보여서 샀는데 넘나 만족스러워요!ㅎㅎㅎㅎ청바지랑 같ㅇ이 코디했는데 넘나 굿굿!!배송도 빨라서 좋아요
alswl203**|박시해요 편하게 입기좋네요 다른거 주문하면서 싼맛에 골라 샀는데 잘입고있어요 만족해요 네이비로 샀는데 다른색으로 하나더 주문할까 고민중이에요
miyeon**|아이보리 색이라 비침이 없지않아 조금 있지만길이도 딱 적당하고 디자인도 너무 예쁘게 되어있어서만족하고 또 만족하는중이요
miyeon**|처음에 옷 딱 받아봤을때보다 입고 나서가 진짜 예뻐요 ㅠㅡㅠ친구들도 다 예쁘다 하구 맘에 들어했어요 ❤️너무 예쁩니다 !!!!!!
miyeon**|마른편인데도 너무 쫀쫀하게 타이트하지도 않고 딱 적당한 핏으로 맞아 떨어져서 최고에용 기대했던것보다 이상이여서 깜짝 놀랐숩니다
miyeon**|오버핏이라 약간 길게 내려오지만 청바지나 반바지에입으니까 진짜 ㄹㅇ 예쁨 ㅠㅠㅠ저렴한 가격에 겟하게 해주셔서 감사합니다 (● ˃̶͈̀ロ˂̶͈́)੭ꠥ⁾⁾
miyeon**|아무 옷이나 입었을때 너무 잘 어울리고크기도 딱 적당해서 코디하기 너무 좋아요똑같은 가방 디자인인데 친구는 다른곳에서 더 비싸게 주고샀다고 아쉬워하더군요 ㅠㅁㅠ 싼가격에 예쁜 가방 감사함다 ❤️
ckdudals**|진짜 진짜 배송이 넘 늦어져서 그 부분이 별룽 .. 그리고 생각했던것 보다 기장이 진짜 길어요ㅠㅠ 색은 너무 이쁜데 잘못입으면 임부복 같아 보여요 ,.!
ckdudals**|사이즈 딱 맞고 색상도 화면에 보이는거랑 똑같아요 >_< 근데 배송이 부분적으로 와서 그 점이 좀 그랬지만 다른 부분들 다 좋아용 ♡
ckdudals**|배송이 부분적으로 와서 좀 그랬지만 옷이 색상도 너무 이쁘고 포장도 진짜 깔끔하게 와서 좋았어요ㅎㅎ 그리고 색 빠짐 없고 새옷 냄새도 없어욥!!!!
hjm69**|이틀만에 배송왔어요 옷이 생각보다 커서 처음엔 잘못 샀나 했는데 한번 빨고 다시 입어 보니깐 괜찮은 것 같아요. 목도 안늘어났고요 재질은 그냥 면은 아닌것 같아요. 약간 마 느낌도 나는 재질 이랄까? 흰색 검은색,네이비색 샀는데 정말 기본티에요 빨기 전에 처음 입을때는 새옷냄새? 나요
36167802**|정말 가성비 갑인 티셔츠입니다! 이가격에 이런 질좋은티 못구할거같아요 ㅎㅎ 색깔별로 다 쟁여두고싶어요ㅠㅠ 이쁘게 잘입을게요!!!
36167802**|솔직한 후기입니당 저 평소에 바지 25입는데 허리가 쪼인적 없었는데요~ 결론적으로 이거 너무 쪼여요 ㅎㅎ 그래도 맞긴해서 밖에 입고오긴 했는데... M으로 바꿀거그랬어요ㅠㅠ 바지 25입는 분들도 사이즈 한번 더 생각해보고 사시는게 좋을것 같습니당
lej91**|이건 무조건 사세요 꼭사세요 제발사세요  진짜 너무이쁨....말이필요없어여...연청샀는데 진짜 너무이쩌여...
lej91**|천이 진짜 받아보면 놀래여....너무좋아여...핏도 이쁘고 슬라브재질인거 같은데 기장도 그렇게 안길고 딱 정당한거같아요
lej91**|고민하지마세요진ㅁ자 너무이뻐여ㅠㅠㅠㅠ생각 보다 천도 너무좋고 핏도 딱이쁘게 떨어지는핏이라 좋고 고민하지마시고 진짜 꼭사세여
chl**|기본티로는 괜찮은거같아요~색상은 보던그대로인거같고 조명때문에 사진상에는 그렇게 안잡힌거같아요생각보다는 찰랑거림이 덜하고 보풀이 좀 일어 날 것 같았어요ㅠㅠ
wldk**|편하게 입기 좋아요 제 키는 168인데 치마는 엉덩이 밑 4센치 정도? 안 재봐서 모르겠는데 어림잡아 저정도 되는 거 같아요 그런데 무릎 쭈구리면 딱 엉덩이 바로 밑이에요 팬티 보일 수도 있어요. 치마 어디까지 올려 입은 거냐면 배꼽 부분까지 입은 거예여 참고하세요.  팔 길이는 사진이랑 똑같아요. 전신사진에서 팔 길이는 짧아 보이는데 다른 옷이에요. 그리고 저는 배 나와서 옷 빼입었어요 ㅎㅎ 나중에 뱃살 빼면 옷 넣어 입을래요 그럼 더 이쁠 거 같아요 배송은 진짜 빨라요 2일 뒤에 왔어요 이것만 시킨 거 아니고 다른 옷이랑 같이 시켰는데도요 아무튼 잘 입을게요 감사합니다❤
sy31**|옷이 너무 귀여워서 가장 기대했던아이인데 조금 실망햇어요 ㅠㅠ길이는 미니원피스처럼 안에바지입고 입으면 괜찮을 것 같은데 가슴부분이 조금 뭐랄까...제가슴에 맞지않아서 그런지 뭔가 이상해요!!! 위로 올라간것같다 해야하나 ... 사진처럼 그렇습니다 ㅜㅜ 하지만 옷이 얇아서 여름에도쭉입기좋고 귀여워서 용서가되네요 ☺️
sy31**|색은 사진처럼 이쁜 수박색이랍니당 ㅎㅎ 루즈핏이라는데 전혀 큰 사이즈는 아니에요! 적당하게 맞는정도? 팔길이도 길지않고 ! 생각보다 루즈하지않아요 근데 저는 이렇게 적당히 맞는 옷을 좋아해서 ㅠㅠ 넘 맘에드네용 초록색진짜좋아해서 초록옷이란 초록옷은 다 사는데 심플하고 색도이쁘고 맘에들어용!!
sy31**|와..진짜 이거 너무이버요 딱 사진같은색이에요 제가올린것보다 조금 더 진한 베이지랍니다 ㅜㅜ 진짜 8000원이라서 그냥 디자인도 괜찮고 이번여름에만 입지뭐~하면서 별 기대없이 샀거든요 근데 생각보다 8000원 치고는 질도 괜찮고 제 키에 엉덩이딱가리는길이네용 옷이 참 예뻐요!!
alfl3233**|모자 색깔 선택잘한거 같아요!!진짜 맘에 들어용ㅋㅋㅋ어디든 코디해도 이쁘네요 크기도 적당하고 굳굳 배송빨라요ㅋㅋ
alfl3233**|배송이 늦어서 오래기다렸지만 웃은 예쁘네요한 여름에 입기엔 좀 덥겠지만 밤에 쌀쌀할때 유용할거 갘아요옷예뻐용!!!
alfl3233**|사이즈가 생각보다 크네요...고고싱 좀 작을 줄 알았는데...그래서 벨트 끼려구여~담엔 사이즈 선택을 잘해야겠네요그래도 옷은 예뻐요
alfl3233**|가격도 저렴하고 검정 박시티알아봤는데 예쁘네용!근데 소재는 좀 더울 수 도 있을꺼 같지만기본티라서 반팔셔츠랑 코디해서 입으면 예쁘겠네용 굳
wldk**|예뻐요 사진 그대로예요 여름인데 에어컨 땨문에 좀 추울 때 걸치면 될 거 같아요 저 키가 168인데 딱 무릎 밑에까지 와요! 그리고 되게 얇아요 손 넣으면 비치는 정도 딱 여름용인 거 같아여 그리고 또 늦었다구 적립금 500원이나 주셨어요 감사합니다 감사합니댱♥
alfl3233**|배송 빠르고 옷 예뻐요!!적당히 품이 있어서 날씬해보이네요목 라인이 자칫하면 늘어날 수 있어서 좀 조심히 입어야겠네요여름동안 잘 입어질거 갘아요 추천해요
wpdls**|가방크기가 커서 많이들어가서 좋구여 ~ 바닥부분이 네모고 튼튼해서 사용한지 한달정도됬는데 찢어진것도 없고 쓰기나름이겠지만 아이보리색인데 생각보다 때가안타네용 앞에글귀도이쁘고 같이산 원피스랑 같이 배송도 빠르고 좋네요
dkffhdp**|이건 그냥 인생원피스였어요ㅠㅠ옷자체가 짧긴한데 진짜개이뻐요 원피스 너무맘이들어요 만족합니다❤고고싱짱
431369996**|제발 사세요!!! 최고 좋은거같아요! 발도 작아보이고 리뷰가 없어서 고민했는데.. 절대! 후회안했어요! 쿠션도 좋고 예뻐요!!!!
431369996**|더워보이지 않을까 고민했는데 막상 받으니까 예쁘더라구요. 무엇보다 편해서 종종 신고다니기 좋을꺼같아용!!!! 배송도 빨랐어요
431369996**|회사에 입고갔는데 사람들이 다 예쁘다고 하네요! 바람도 슝슝 잘 들어오고 가격대비 대박 아이템인뜻요!!! 꼭사세요!!!!
431369996**|밴딩으로 되있어서 옷입기도 편하고 소재도 얇아서 여름에 입기 딱인거같아용!!! 길이가 너무 길지 않을까 싶었는데 딱 적당해요
skyljs11**|완전 좋아요!화이트 구매했습니다 주문할떄부터 입고예정일이있었는데..22일?이랬는데25일로 미뤄졌어요 ㅠㅠㅠ 엄청 기다렸다가 받았어요다른거랑 같이 주문했는데...그래도 개별배송해주셔서급한건 아니여서 그냥 입고된 날짜에 받았어요저는 화이트 구매했는데요..완전 좋습니다..사실 그냥 이런거는 기본템이잖아요 ㅠㅡㅠ다른 린넨티셔츠 사고 싶었는데...품절에 재입고도 안되길래꿩 대신 닭이라는 생각으로 샀는데요 완전 좋아요..ㅋㅋ사실 제가 완전 반팔은 안 좋아하는데얇아가지고 한 여름에도 입을 수 있을 것 같아요그리구 그냥 면인줄 알았는데 티셔츠에 스판끼가 있어서 뭔가 약간 늘어나구 쫀쫀?한 감도 있어요..그래서 더욱 좋습니다..ㅋㅋㅋ그래서 저 화이트로 한개 구매하고 다른 색도 사려구요 ㅠㅠㅠ,...뭔가 한개로는 부족할거같아요 ㅋㅋ 아이보리가 아니라 화이트색이라서 더 이뻐요봄가을에 남방 안에 받쳐입기도 좋을 거 같아요지금도 입고 있네요 ㅎㅎㅎ..품절되기전에 얼른사려구요!
